Название блюда,Категория,Граммовка,Калории,Цена
Паста Болоньезе,Паста,300 г,550 ккал,14.99
Куриные наггетсы,Мясные блюда,250 г,380 ккал,9.50
Морской окунь на гриле,Рыбные блюда,180 г,320 ккал,18.75
Салат с авокадо и креветками,Салаты,200 г,250 ккал,12.99
Карри с куриной грудкой,Азиатская кухня,400 г,480 ккал,16.50
Суп грибной с картофельными клецками,Супы,300 г,200 ккал,7.50
Лосось в терияки соусе,Рыбные блюда,250 г,420 ккал,23.99
Спагетти с морепродуктами,Паста,350 г,600 ккал,17.25
Французский луковый суп,Супы,250 г,180 ккал,8.99
Стейк из свинины с грибным соусом,Мясные блюда,300 г,550 ккал,21.99
Цезарь с курицей,Салаты,250 г,320 ккал,10.50
Омлет с беконом и сыром,Завтраки,250 г,380 ккал,9.99
Картофельное пюре,Гарниры,200 г,220 ккал,4.99
Салат с ростбифом и горгонзолой,Салаты,200 г,280 ккал,11.50
Креветки в сливочном соусе,Морепродукты,250 г,400 ккал,24.75
Свинина по-китайски,Мясные блюда,300 г,480 ккал,15.99
Плов с курицей,Рисовые блюда,400 г,700 ккал,13.99
Банановый тирамису,Десерты,150 г,350 ккал,7.50
